Pair,Liquidity New,Liquidity Old,Volume 24h New,Volume 24h Old,Ascending Triangle,Whale Activity,Divergence Up
AP/SOL,172339.96,170172.06,26198.84,30732.42,False,False,False
AP/WETH,455261.03,438722.52,394998.08,383563.33,False,False,False
DASH/USDC,442801280.2,442801280.2,46671.33,46671.33,False,False,False
DASH/SOL,7366.67,7368.0,58224.97,58159.65,False,False,False
CHERRY/TON,212691.46,213578.52,198582.74,199136.96,False,False,False
CHERRY/USDC,25786.99,25786.99,46829.67,46829.67,False,False,False
HERO/WETH,74801.16,73546.35,32868.63,32625.22,False,False,False
HERO/WBNB,10247670.86,10100423.57,12969.08,13031.56,False,False,False
CHIPS/SOL,46522.85,43225.74,16025.82,13991.89,False,False,False
BASEDHYPE/HYPE,55376275.74,50730869.53,1050828.43,1002974.98,False,False,False
PBTC/SOL,509988.77,503151.77,38331.53,37434.97,False,False,False
BEER/WETH,162987.69,235367.57,5597800.97,5613138.37,False,False,False
BEER/WBNB,237960.82,240312.54,1425213.48,1462668.82,False,False,False
TFT/TON,40774.25,40133.15,14965.99,14486.12,False,False,False
BUZZ/SOL,1968643.1,1986442.5,5180125.09,6285000.05,False,False,False
SOL/STEAK,60808.53,59028.27,372861.15,371142.8,False,False,False
OUT/WBNB,109614.27,107898.26,25403.28,24044.83,False,False,False
COMPANY/SOL,47290.19,42330.83,33992.46,32962.67,False,False,False
CHIMP/WETH,240384.03,236821.1,123042.83,126758.7,False,False,False
COMPANION/SOL,34737.96,34385.65,11002.81,10949.3,False,False,False
CHAN/SOL,7165.29,7225.52,97208.06,97186.59,False,False,False
POLY/USDT,822785.09,822115.11,12819.49,12485.39,False,False,False
QUACK/WBNB,2152041.58,2136271.5,33508.25,33505.33,False,False,False
QUACK/TON,7146.5,6941.44,19819.18,19686.64,False,False,False
CHUD/SOL,669242.55,658910.38,179020.97,178619.67,False,False,False
KAI/SOL,230519.84,226326.05,162508.89,165451.5,False,False,False
SOL/WAVE,24015.19,1568668.85,492911.22,12558.42,False,False,False
BERRY/WETH,517883.39,506786.11,233924.69,233031.97,False,False,False
BNW/SOL,10969.43,10904.14,3764631.24,3764223.15,False,False,False
RIZE/USDC,151583.69,152821.15,131265.44,133537.61,False,False,False
STS/WOS,64979.45,64099.05,54775.53,55853.85,False,False,False
WOS/WS,8857.57,8836.86,33718.26,33020.03,False,False,False
NEON/SOL,130645.8,129446.29,18154.4,18232.34,False,False,False
NEON/USDC,27802.9,27763.81,19371.32,21245.6,False,False,False
LOT/WBNB,818747.89,813941.27,1351652.76,1292436.16,False,False,False
PILL/SOL,246014.49,244625.92,31059.04,31953.38,False,False,False
HIPPO/SUI,1314780.79,1306107.22,144372.64,151467.81,False,False,False
GEAR/WETH,2963152.51,2963152.51,213455.89,221454.28,False,False,False
RICH/SOL,48955.31,49106.71,12172.64,12652.06,False,False,False
RICH/USDC,47881.8,48115.18,14199.33,14862.35,False,False,False
DARK/SOL,770003.87,767838.98,360059.38,378881.16,False,False,False
DARK/WBNB,1587938.99,1577623.73,8898842.77,8847620.31,False,False,False
ECHO/WBNB,1103534.73,1095329.06,1674313.3,1666984.17,False,False,False
APT/ECHO,99819.4,98884.11,707474.83,709363.5,False,False,False
AF/SOL,13530.06,12967.69,29630.18,33344.95,False,False,False
MONKE/SOL,5809.92,5699.49,822780.91,822593.76,False,False,False
MONKE/WETH,131700.67,131700.67,11769.95,11802.97,False,False,False
ASTRA/WETH,648371.73,645347.76,189847.95,211861.08,False,False,False
INU/SOL,31608.63,31111.45,15183.76,14860.28,False,False,False
SOL/ZEUS,285387.06,285387.06,123186.04,124600.36,False,False,False
WETH/ZEUS,562323.86,558181.32,255021.91,276107.22,False,False,False
TKC/WBNB,259682.07,255219.31,278314.18,275244.84,False,False,False
DRIFT/JITOSOL,390129.51,386579.14,108320.04,113330.81,False,False,False
WBERA/ZERO,145750.08,147491.56,21327.63,20599.09,False,False,False
NECT/ZERO,98363.25,98620.94,17050.38,16505.61,False,False,False
WETH/ZERO,103248.77,101376.39,23475.51,17862.01,False,False,False
SOL/SOLA,197189.56,193356.95,57333.25,44912.17,False,False,False
LEGIT/SOLA,4741876.09,4702840.46,863687.22,665315.32,False,False,False
PANDA/WBNB,81353.77,80590.94,25352.38,25444.48,False,False,False
PANDA/SOL,229931.98,226634.93,47984.72,63418.23,False,False,False
ICP/PANDA,360027.72,357205.91,12681.85,12736.97,False,False,False
PANDA/USDT,1157469.82,1158024.86,85785.0,87679.01,False,False,False
BOP/LEGIT,5232611.7,5256565.93,60098.41,50494.3,False,False,False
PAI/WETH,1007949.75,996192.33,487780.42,558845.44,False,False,False
STETH/WPLS,124357.02,118998.11,13359.63,10052.83,False,False,False
ETH/STETH,214208511.6,212519010.81,79023907.19,78678729.3,False,False,False
STETH/WETH,6432520.35,6336158.56,282941.28,299691.72,False,False,False
WETH/WSTETH,25996021.05,25742513.28,2744371.1,2793756.38,False,False,False
USDC/WSTETH,178487.81,177490.45,918938.87,945692.71,False,False,False
AERO/WSTETH,418613.0,409631.18,15359.45,15027.79,False,False,False
CBETH/WSTETH,322388.72,326106.51,13471.16,14048.94,False,False,False
RETH/WSTETH,1773290.68,1784068.88,108103.11,57183.36,False,False,False
LDO/WETH,6161560.93,6134529.77,11717728.02,11829905.02,False,False,False
LDO/WPOL,176761.49,175000.11,148652.45,149302.82,False,False,False
LDO/WSTETH,165636.5,164744.5,26125.05,26418.62,False,False,False
LDO/USDC,88145.53,87789.5,64910.39,65033.4,False,False,False
ETH/LDO,108936.04,108988.63,114309.56,114293.1,False,False,False
SOL/TRASH,568770.07,594648.49,14751247.68,13264449.61,False,False,False
VIP/WIP,804962.2,785498.21,33331.25,30565.41,False,False,False
GHOST/SOL,10815.11,10501.7,4957042.14,4956600.72,False,False,False
BONER/SOL,36809.5,37319.97,16446.36,16845.88,False,False,False
SOL/VIBE,247253.75,247973.25,41819.42,41341.62,False,False,False
USDC/VIBE,747142.16,748086.17,18557.07,16937.45,False,False,False
LEGIT/VIBE,4462137.67,4462137.67,43796.44,43796.44,False,False,False
VIBE/WETH,97101.24,100519.99,26549.0,27428.67,False,False,False
SENDIT/SOL,144334.47,142808.36,57502.28,68111.48,False,False,False
SINU/SOL,54071.35,53815.0,52114.92,52141.96,False,False,False
SOL/WAGMI,179413.39,175420.22,73385.94,68494.74,False,False,False
FOXY/WETH,819564.52,812832.81,518532.99,535326.22,False,False,False
SHIBU/SOL,521279.92,483689.73,24255961.0,24526506.05,False,False,False
REAL/USDT,134819.17,134819.17,13555.94,13929.04,False,False,False
REAL/XRP,36996.59,36088.76,24105.28,26150.54,False,False,False
CBBTC/REAL,22314.08,22545.97,22870.99,23040.73,False,False,False
STM/WETH,619673.23,615307.46,55928.6,52734.52,False,False,False
CAPY/SOL,283193.24,283740.99,496985.16,472754.08,False,False,False
FLUFFY/SOL,57031.52,56458.76,12412.82,14024.59,False,False,False
TWT/WBNB,692727.96,688125.52,68125.59,66856.14,False,False,False
FORA/WBNB,40837.18,41504.21,67877.96,66307.32,False,False,False
STT/USDT,1691252.77,1692448.88,68780.04,67758.56,False,False,False
MGC/TRIP,24165849.89,24165780.39,11607.12,11572.37,False,False,False
TRIP/WBNB,581719.15,581719.15,11429.98,11429.98,False,False,False
BLACK/MMA,75215.25,74600.11,14343.27,15901.78,False,False,False
MMA/WAVAX,26352.18,26352.18,10388.9,10706.93,False,False,False
MMA/WETH,117461.68,117461.68,12652.79,13284.53,False,False,False
RBTC/WBTC,930215.88,930215.88,21494.35,60963.65,False,False,False
SOL/ZION,34971.21,0.0,829403.73,0.0,False,False,False
POOP/WETH,89447.53,90098.07,447485.32,417491.99,False,False,False
POOP/SOL,432351.46,422312.26,182279.88,172710.34,False,False,False
CROWN/SOL,156127.61,152388.45,14253.29,14292.44,False,False,False
GG/SOL,18646.85,18646.85,11034.36,11034.36,False,False,False
SOL/VENUS,127217.1,127815.95,119824.33,115753.62,False,False,False
ANT/USDC,87359.29,84365.14,60406.31,58226.39,False,False,False
WAVAX/YAK,712256.92,707488.21,33200.03,33141.98,False,False,False
FINN/SOL,37275.03,47267.2,58784.36,42292.89,False,False,False
AAA/SOL,99683.64,98373.77,21023.32,19011.71,False,False,False
AAA/USDC,842797.2,838854.04,355591.53,370116.27,False,False,False
AAA/WETH,929331.41,926670.24,353119.36,357859.91,False,False,False
AAA/ETH,103947.76,103947.76,19905.22,21604.01,False,False,False
BOOP/USDC,1363982.03,1320237.05,417306.8,275647.7,False,False,False
BOOP/WETH,359762.43,353984.27,21376.97,21084.95,False,False,False
BOOP/USDT,212378.71,201511.81,111864.23,93245.66,False,False,False
TREAT/WETH,117279.14,114855.02,65113.83,62764.53,False,False,False
SURV/WBNB,85402.9,84726.79,10134.67,10230.97,False,False,False
AFT/WBNB,253385.55,252372.13,65569.41,66064.86,False,False,False
BIS/SOL,181653.06,179979.5,22882.75,23001.34,False,False,False
FAV/SOL,100282.4,99204.05,27259.5,24686.53,False,False,False
BIT/WETH,670745.27,667440.08,20060.09,22334.89,False,False,False
GOON/SOL,122896.47,125386.06,203915.5,204341.97,False,False,False
FAT/SOL,420162.26,411629.18,134788.34,137697.99,False,False,False
MTN/USDC,1248752.99,1248959.68,38091.17,31794.53,False,False,False
EVO/WBNB,35831.0,36310.35,15674.66,14703.55,False,False,False
DOGE/SOL,83085.44,81702.39,196306.14,196363.48,False,False,False
DOGE/WPLS,63214.01,62834.2,12451.19,12462.71,False,False,False
BTCB/DOGE,960500.9,951941.06,6825174.27,6825209.47,False,False,False
DOGE/USDC,163409.14,162310.66,2325363.15,2348513.61,False,False,False
BTC/DOGE,192888.51,191305.37,428391.03,428149.09,False,False,False
DOGE/WCRO,295534.29,291869.98,53532.11,53741.97,False,False,False
DOGE/WETH,1997375.45,1978845.97,82650.03,85312.24,False,False,False
DOGE/WBNB,4715028.7,4618190.53,270054.44,264465.6,False,False,False
DOGE/USDT,179510.66,170998.63,44143.68,42214.5,False,False,False
DORA/USD1,1748438.58,1748438.58,219059.74,226576.08,False,False,False
DORA/VIRTUAL,143009.91,143436.28,21746.72,21794.69,False,False,False
DORA/SOL,487749.74,486107.26,373654.91,527545.54,False,False,False
ALGO/USDC,3554561.86,3554561.86,714243.89,739664.99,False,False,False
ALGO/OPUL,157024.49,157024.49,51989.57,52672.93,False,False,False
ALGO/GOBTC,289433.19,289433.19,27707.06,28554.94,False,False,False
ALGO/ALPHA,118397.19,118397.19,13652.02,13875.44,False,False,False
MATIC/WBNB,70847.53,70144.09,13981.0,14773.06,False,False,False
MATIC/WETH,606293.47,601703.47,58687.8,57676.09,False,False,False
TON/USDC,850621619.59,850621619.59,160621.08,160653.51,False,False,False
TON/UTYA,494911.61,488464.47,580235.29,588710.17,False,False,False
REDO/TON,438971.5,436894.45,341316.55,344505.61,False,False,False
TON/TONIO,75411.59,80410.61,108878.15,115498.74,False,False,False
STUPED/TON,11071.38,10771.67,109178.13,103092.97,False,False,False
FPIBANK/TON,311554.49,311201.23,15825.69,16427.59,False,False,False
AMORE/TON,171905.01,171905.01,30444.98,30444.98,False,False,False
BLUM/TON,832182.72,834653.13,40861.47,37873.3,False,False,False
MEXCREWN/TON,50099.78,50099.78,53874.32,57404.09,False,False,False
PLANE/TON,62800.43,61030.47,23079.28,27846.55,False,False,False
TCAT/TON,72952.67,72952.67,11765.25,13705.52,False,False,False
$CANA/TON,18904.75,0.0,18075.1,0.0,False,False,False
NOT/TON,815099.42,0.0,19916.49,0.0,False,False,False
SER/WETH,25111.73,25004.84,18717.66,18619.79,False,False,False
DOT/WBNB,491774.81,487561.46,133612.55,136651.1,False,False,False
BTCB/DOT,43692.92,43385.45,29451.0,29816.69,False,False,False
LTC/WCRO,130335.46,129419.44,11388.76,11415.12,False,False,False
LTC/USDC,17462064.1,17462064.1,427927.33,427927.33,False,False,False
LTC/WBNB,872470.58,870401.52,496204.23,527619.81,False,False,False
LTC/USDT,138727.84,138684.08,36849.01,37462.3,False,False,False
LEGIT/TIME,1402599.65,1402599.65,12961.82,12961.82,False,False,False
TIME/WBNB,482646.96,482749.48,25259.35,24328.48,False,False,False
IT/SOL,38471.93,40484.11,1240000.55,1423921.75,False,False,False
NFTB/WBNB,55780.82,0.0,10980.36,0.0,False,False,False
NEXUS/WBNB,465224.84,458862.94,19731.7,19271.51,False,False,False
CARROT/USDC,1135141.13,1137501.43,68766.9,69647.16,False,False,False
PIT/WBNB,7804458.76,7746851.17,12494.52,11344.25,False,False,False
SOL/WIFE,152393.52,150709.8,10762.9,10401.07,False,False,False
BEAN/SOL,15654.61,15654.61,39722.97,42681.55,False,False,False
TIA/USDC,108026.96,107342.07,984006.31,996186.84,False,False,False
OSMO/TIA,319268.27,317093.31,345803.62,348445.8,False,False,False
SK/USDT,171889.14,171893.72,18322.38,19955.75,False,False,False
TIM/WHBAR,49610.26,49303.35,17027.9,16998.78,False,False,False
SOL/TIM,59377.03,60833.01,14119.75,13432.26,False,False,False
SAFE/USDT,1232328.13,1235819.26,42714.29,41821.71,False,False,False
SAFE/WETH,1559359.41,1538107.11,46884.98,49864.06,False,False,False
SAFE/USDC,455032669.31,455032669.31,66669.33,66669.33,False,False,False
SLOTH/SOL,722908.25,718839.5,31561.58,30689.4,False,False,False
SNORT/SOL,151404270.91,139691779.8,10820.22,434680.0,False,False,False
SNORT/WETH,353081.95,347336.08,11340.18,15735.1,False,False,False
SSC/USDT,220760.89,220530.53,33879.91,32566.21,False,False,False
FORGE/SOL,51047.18,49278.08,12554.23,12372.77,False,False,False
HABITAT/SOL,911189.75,899286.09,516978.05,518042.95,False,False,False
NOMNOM/SOL,483876.35,474847.39,67387.0,74101.53,False,False,False
GRAM/TON,179514.28,180099.03,17928.76,17598.94,False,False,False
WETH/ZIG,629545.45,608325.31,562087.11,617437.36,False,False,False
SOL/ZIG,89691.51,88893.72,22112.53,20639.47,False,False,False
WBNB/ZIG,132040.27,127260.6,18810.58,17585.54,False,False,False
SIX/SOL,966031.78,958298.78,32876.91,31352.65,False,False,False
SIX/WBNB,150472.55,149307.27,11426.48,11579.67,False,False,False
FLOAT/SOL,90824.62,90802.24,68633.95,69904.52,False,False,False
OCEAN/WETH,1429309.88,1414464.14,339082.91,345091.71,False,False,False
AGORA/VIRTUAL,31786.16,31786.16,11930.45,12056.93,False,False,False
CLX/WETH,636462.38,616769.01,158069.38,157589.14,False,False,False
BP/SOL,55841.61,54827.65,45041.35,64438.26,False,False,False
SOL/SPARK,1208884.87,1242571.57,7469725.88,8092567.06,False,False,False
SPARK/USDC,7632.85,7810.39,53645.69,44335.19,False,False,False
CMETH/FBTC,12796051.46,12790530.24,816019.96,820068.78,False,False,False
CBBTC/FBTC,4769380.55,4769380.55,260536.28,261831.58,False,False,False
FBTC/WBTC,4982847.94,4982847.94,16143.72,16969.07,False,False,False
BIG/WETH,625112.48,621150.04,434839.13,605163.71,False,False,False
BIG/SOL,7349.04,7349.04,146561.88,146561.88,False,False,False
MILK/WBNB,1038990.02,1033996.98,4320669.86,4335131.54,False,False,False
MILK/USDT,8833.08,8798.34,16254.92,15880.49,False,False,False
MILK/USDC,147118.36,146582.92,24492.1,24410.93,False,False,False
BTC/MILK,93063.11,92424.72,21279.25,22203.75,False,False,False
ROCKET/VIRTUAL,193316.67,191659.47,41932.97,49566.93,False,False,False
ROCKET/SOL,64526.76,63432.6,13230.17,13152.52,False,False,False
DBC/SOL,165643.58,165643.58,32615.28,40941.19,False,False,False
TRUE/WETH,708256.51,700405.2,76475.77,75513.29,False,False,False
BONE/WETH,3297670.66,3273008.92,256363.48,259952.09,False,False,False
BONE/SHIB,666757.32,666757.32,21819.73,25417.83,False,False,False
ABT/WETH,170231.46,170715.41,89527.22,87230.39,False,False,False
SNS/USDC,290092.89,290298.65,57792.29,66142.55,False,False,False
BAB/WBNB,82689.38,82518.79,11038.18,11414.97,False,False,False
TSLA/WETH,237270.1,272110.28,8233496.91,8285406.72,False,False,False
USDC/WPLS,318720.71,317309.06,219541.52,236031.52,False,False,False
USDC/USDT,2312516.91,2315319.69,3857575.65,3823230.58,False,False,False
USDC/USDC.N,2037356.19,2037311.76,5054155.17,5501741.9,False,False,False
DAI/USDC,312629.68,310277.62,71744.62,78613.2,False,False,False
USDC/WSEI,7935610.55,7892211.35,5725025.24,5753190.67,False,False,False
USDC/USD₮,1136715.42,1129247.98,8419195.77,9163667.04,False,False,False
ATROPA/USDC,32847454.35,32955003.01,152764.97,162667.44,False,False,False
CELO/USDC,60673.99,60462.13,587052.77,574714.97,False,False,False
SCUSD/USDC,127277.1,127279.45,614992.61,569516.35,False,False,False
CUSD/USDC,102088.18,102088.29,236275.35,263089.31,False,False,False
USDC/ZK,131466.09,130143.69,324222.92,331557.08,False,False,False
USDC/XRP,589482.18,587959.18,411935.88,412469.97,False,False,False
USDC/WETH,113045.46,112819.43,23661.06,23152.97,False,False,False
USDC/USDT.E,1049367.08,1048550.47,60656.74,60321.61,False,False,False
USDC/USDC[HTS],837855.84,837896.3,177552.26,204357.76,False,False,False
ACB/USDT,377863.03,378020.77,35815.45,35976.34,False,False,False
COIN/WETH,77540.54,75958.33,26972.02,27519.81,False,False,False
COIN/TON,7994.59,8390.61,16359.11,16174.47,False,False,False
COIN/SOL,7518.59,7534.94,132489.95,132451.03,False,False,False
AMD/USD₮0,3063466.97,3067429.0,26573.63,25394.52,False,False,False
MSTR/WETH,982198.87,982198.87,15725.07,16128.68,False,False,False
BABA/SOL,46450.11,53928.34,41103.08,33136.69,False,False,False
BB/SOL,85612.98,92571.2,259391.79,267471.32,False,False,False
GME/SOL,2653312.33,2620913.53,125957.57,127216.53,False,False,False
GME/WETH,2996431.99,2953208.92,401536.09,403923.17,False,False,False
FB/SOL,39233.77,39072.96,27423.48,28545.85,False,False,False
FB/USDT,24049.18,24049.18,47156.41,47156.41,False,False,False
SPY/XRP,16240.87,16240.87,177656.18,235162.61,False,False,False
PANDA/TUR,2634259.74,2637362.75,49810.61,54353.28,False,False,False
SUN/USDT,5953865.35,5932635.67,623773.95,615210.8,False,False,False
SUN/WTRX,4586177.62,4562079.73,241216.17,239560.81,False,False,False
USDT/ZM,79076.23,79036.84,192721.92,193389.8,False,False,False
USDT/WPLS,145576.86,144739.9,172524.35,181199.44,False,False,False
USDT/WETH,431501.67,430733.25,2836539.39,2819341.41,False,False,False
DAI/USDT,245306.31,241151.24,65522.78,68070.64,False,False,False
USDC.E/USDT,1104725.49,1104723.8,761019.21,859103.34,False,False,False
USDT/WKAVA,470789.02,470999.23,100718.95,99903.18,False,False,False
USDT/USDT.E,744140.66,744355.07,74766.13,75031.13,False,False,False
TREASURY BILL ㉾/USDT,1634264.36,1610978.37,37086.3,37362.27,False,False,False
USDT/WFLR,314559.81,314157.9,17818.67,17621.91,False,False,False
USDT/USD₮0,1004495.04,1004493.13,80187.05,79989.07,False,False,False
USDT/USDT,606326.01,606326.02,275264.44,335368.42,False,False,False
MEDIA/USDC,82598.77,82269.19,35462.92,36107.1,False,False,False
STEP/USDC,618394.03,617171.88,296589.84,347456.53,False,False,False
SOL/STEP,80082.71,79523.03,26703.44,29646.92,False,False,False
STEP/STEPSOL,159560.91,158688.82,148065.34,155983.32,False,False,False
ATLAS/WETH,56803.68,56474.14,26404.62,28146.89,False,False,False
ATLAS/USDC,118817.22,118918.54,154036.05,157916.96,False,False,False
ATLAS/RAY,467121.81,466558.74,305917.42,309041.56,False,False,False
ATLAS/SOL,23256.39,22219.19,32771.72,40323.38,False,False,False
POLIS/RAY,440020.37,377414.81,361053.61,385271.52,False,False,False
POLIS/SOL,282681.34,275444.27,118667.29,124257.03,False,False,False
POLIS/USDC,67964.05,67126.43,88489.82,95657.89,False,False,False
PFP/SOL,35214.9,37120.92,21932.28,21697.29,False,False,False
ASF/WETH,1366195.02,1360137.4,80636.3,82059.66,False,False,False
ASF/USDT,482308.58,447576.7,68601.45,70866.8,False,False,False
PBA/SOL,41910.05,38622.27,12576.53,11909.08,False,False,False
CHAD/WETH,276399.69,273304.66,43107.69,45899.7,False,False,False
SOL/VIVA,431003.84,421388.72,147700.38,145699.55,False,False,False
ORBS/USDC,531831.69,531512.27,11961.07,12181.99,False,False,False
ORBS/WETH,601037.51,0.0,10665.92,0.0,False,False,False
C98/WBNB,540792.1,535512.26,59357.05,60117.57,False,False,False
SIMP/SOL,914370.56,908466.34,33846.31,32961.66,False,False,False
BET/USDT,1248105.24,1245103.62,126323.41,127071.0,False,False,False
BET/WPOL,1002933.24,995075.66,58457.92,58992.15,False,False,False
BET/WETH,234257.86,232375.33,36703.72,37555.67,False,False,False
PRT/SOL,41766.17,41766.17,20021.34,20787.53,False,False,False
ALP/USDC,293972.25,292972.37,177654.3,179892.71,False,False,False
ALP/SOL,340189.05,338650.26,263107.24,259680.0,False,False,False
SMRT/SOL,89264.7,86603.7,20247.2,18357.31,False,False,False
BST/WETH,1603093.44,1603093.44,17244.18,17244.18,False,False,False
DSOL/SOL,31214.37,30914.81,343262.56,319898.19,False,False,False
DSOL/INF,11712.12,11616.88,24980.56,23977.37,False,False,False
BLACK/USDC,3983028.11,3972634.79,527803.64,539761.24,False,False,False
BLACK/WAVAX,3987786.03,3914360.69,670289.44,699219.05,False,False,False
BLACK/SUPER,6676856.93,6622849.11,565220.03,589963.73,False,False,False
BLACK/WETH.E,294898.75,289833.09,30899.04,30849.46,False,False,False
BLACK/BTC.B,161189.91,130676.76,1135339.75,1238141.88,False,False,False
BLACK/USDT,638914.09,637159.54,36203.53,35653.91,False,False,False
USDC/UXD,46424.29,46424.29,16314.85,20361.86,False,False,False
STG/USDC,5899849.14,5899849.14,167749.63,170316.75,False,False,False
HONEY/STG,287522.26,287392.74,28566.92,31791.13,False,False,False
STG/WPOL,14593.88,14510.15,11684.08,12124.3,False,False,False
OBOL/WETH,938254.43,927722.11,298507.53,296759.67,False,False,False
CHEESE/SOL,151346.93,152708.81,15173.46,15291.9,False,False,False
CHEESE/LEGIT,5118283.6,5118283.6,33455.54,33455.54,False,False,False
BABY/SOL,55227.93,54790.79,161910.12,177517.74,False,False,False
BABY/USDC,246286.29,245620.78,200396.05,205088.56,False,False,False
BABY/BTC,289641.65,288611.55,339348.93,350705.07,False,False,False
BABY/OSMO,23949.2,23728.65,10841.0,11549.52,False,False,False
SBULL/SOL,7864.08,7864.08,23069.88,23069.88,False,False,False
WETH/YEE,425957.32,433706.94,277117.05,290800.3,False,False,False
DCN/USDT,171551.15,171551.15,15507.79,15510.5,False,False,False
SCT/WBNB,52187.82,50282.9,40016.17,40144.21,False,False,False
ETH/SLT,1274532.23,1263148.71,52769.48,53861.41,False,False,False
SLT/USDT,1864112.11,1860251.8,75655.32,74228.92,False,False,False
SLT/WBNB,3580785.0,3562928.37,64925.08,64339.04,False,False,False
BTCB/SLT,3975811.54,3952257.78,65353.8,66569.74,False,False,False
RZUSD/SLT,891152.11,892762.87,22983.63,22391.1,False,False,False
FLOPPA/WETH,291903.86,283211.95,25130.1,23233.03,False,False,False
FROGG/SOL,45665.17,44156.03,29409.61,36032.84,False,False,False
BKC/USD₮0,606372.35,607416.84,29670.93,29589.61,False,False,False
GOAT/SOL,4599882.01,4577168.23,741363.68,757184.56,False,False,False
ADA/WBNB,1720254.39,1696396.33,2663527.53,2802915.02,False,False,False
ADA/WCRO,184703.66,181613.91,73235.8,87748.12,False,False,False
ADA/USDC,19964259.86,19964259.86,424523.4,424523.4,False,False,False
ADA/USDT,472094.47,467042.19,1205717.05,1260376.91,False,False,False
ADA/BTCB,29279.36,28974.91,268319.39,272765.89,False,False,False
ADA/ETH,58626.3,57623.05,13434.11,14288.57,False,False,False
SOL/WINTER,255829.28,255293.83,92016.34,91881.37,False,False,False
PUFF/SOL,138991.86,137027.28,39541.48,39897.72,False,False,False
METH/PUFF,2110414.34,2093241.48,50269.63,51000.3,False,False,False
DB/SOL,80357.56,79850.11,32609.5,32356.54,False,False,False
DB/LEGIT,1491113.58,1491113.58,284142.22,284142.22,False,False,False
RUN/SOL,198285.58,168791.69,95192.28,91724.84,False,False,False
ACE/USDT,297819.29,297819.29,79542.31,79542.31,False,False,False
ICY/WETH,115461.81,116112.42,34071.37,33528.03,False,False,False
WETH/ZEN,2565406.55,2548791.02,531642.14,544450.42,False,False,False
USDC/ZEN,334420.71,333678.27,114526.15,113643.63,False,False,False
CBBTC/ZEN,1975854.71,1966128.73,285974.19,294112.21,False,False,False
ZEN/ZRO,261462.94,0.0,277971.2,0.0,False,False,False
TUT/WBNB,3978153.76,3957405.42,65227.79,65755.36,False,False,False
BREAD/SOL,55443.86,53529.59,275303.56,279217.29,False,False,False
SHDW/USDC,1378776.04,1425259.48,685890.67,657221.46,False,False,False
SHDW/SOL,358215.55,367941.92,202424.16,198720.57,False,False,False
SEI/USDC,1339396984.62,1339396984.62,158304.51,158304.51,False,False,False
QUOKKA/WETH,174971.48,172778.03,21568.42,21593.78,False,False,False
SOL/XP,112287.95,81687.38,2729883.89,1926581.22,False,False,False
BORG/SOLID,155897.27,155043.53,11768.54,11738.93,False,False,False
SOL/TROLL,5186502.92,4994476.31,11820665.4,12722044.12,False,False,False
TROLL/USDC,158177.54,154696.3,1061497.75,1086634.36,False,False,False
TROLL/WETH,1071963.86,1063267.96,111004.95,110590.89,False,False,False
MLK/USD1,186916.34,186904.33,109322.51,106254.38,False,False,False
SOLACE/VIRTUAL,248565.67,242763.12,36847.95,35900.04,False,False,False
SIGN/WBNB,377699.44,375685.38,1254021.36,1272201.35,False,False,False
SIGN/WETH,589718.01,586976.52,129749.57,165771.25,False,False,False
SIGN/USD1,2318965.26,2309176.6,477525.06,503516.96,False,False,False
RECORD/WETH,207085.89,207085.89,18347.92,18363.07,False,False,False
USDC/USDL,20913485.98,20913485.98,296435.5,296483.4,False,False,False
USDL/WPLS,218838.95,220139.82,33463.02,37228.87,False,False,False
DAI/USDL,300882.91,300885.47,56589.45,58065.51,False,False,False
TFC/USDL,135505.79,137038.95,16620.93,19656.49,False,False,False
SERSH/USDT,182379.53,183332.58,19679.88,19312.44,False,False,False
PENNY/SOL,25209.23,24384.54,1050536.12,1048773.64,False,False,False
LION/WCRO,14471928.98,14307247.17,627605.48,621452.89,False,False,False
LION/USDC,2082100507.35,2082100507.35,66669.33,66669.33,False,False,False
LION/SOL,2136072.89,2136072.89,62374.47,63370.17,False,False,False
LION/WETH,2432208.83,2432208.83,64494.77,64494.77,False,False,False
ERA/USDT,2937760.59,2930600.75,3209845.27,3201969.39,False,False,False
ERA/WBNB,259853.95,259853.95,27350.41,27415.34,False,False,False
ARK/SOL,100212.24,99568.16,10888.15,11360.01,False,False,False
ARK/WBNB,457591.29,456393.02,1010545.09,1009242.55,False,False,False
ARK/WPLS,28211.97,38284.28,22598.04,17483.84,False,False,False
TAG/USD1,2336421.2,2346262.77,3796883.56,3689977.67,False,False,False
TAG/WBNB,2742670.36,2750349.81,2573441.98,2507917.16,False,False,False
OPEN/SOL,32071.06,32103.72,37406.16,35720.27,False,False,False
OPEN/WETH,841365.92,841365.92,114736.79,114736.79,False,False,False
MP/USDT,525230.91,525041.3,10395.51,10142.54,False,False,False
BORG/SOL,822387.0,815293.47,242239.31,245323.46,False,False,False
BORG/USDC,259100421.96,259100421.96,46671.33,46671.33,False,False,False
BORG/XBG,697522.13,690674.92,21283.12,21619.93,False,False,False
BORG/VCHF,24633.59,24590.6,26630.61,27496.53,False,False,False
PC/SOL,334917.63,23562.93,12864.77,177402.44,False,False,False
PC/WETH,51843.08,51939.5,85999.89,83120.93,False,False,False
LAVA/WETH,440816.16,438715.02,22051.22,23603.38,False,False,False
ETH/LAVA,142017.86,142017.86,11266.71,11266.71,False,False,False
SOL/TOMATO,39318.25,0.0,104792.06,0.0,False,False,False
