Pair,Liquidity New,Liquidity Old,Volume 24h New,Volume 24h Old,Ascending Triangle,Whale Activity,Divergence Up
CHEEMS/USDC,48556.11,48194.27,14011.46,13782.68,False,False,False
SOL/TOM,47439.28,47396.42,13969.13,14089.69,False,False,False
NINJA/WHYPE,58544.45,58688.82,25967.74,25963.28,False,False,False
MEOW/WETH,122974.3,118660.22,50504.9,47432.27,False,False,False
MEOW/WAVAX,142737.53,143117.81,116955.9,116360.87,False,False,False
BLACK/MEOW,149751.45,148888.52,30546.57,30527.26,False,False,False
MEOW/SOL,58943.31,58745.62,23927.77,23090.03,False,False,False
APEX/SOL,163281.84,161943.23,37445.75,37375.24,False,False,False
APEX/WETH,179859.06,179094.92,37256.01,37565.05,False,False,False
APEX/USDT,3026907.28,3026778.15,21568.36,21522.93,False,False,False
CELO/UBE,42323.84,42323.84,14448.38,14448.38,False,False,False
JOKE/SOL,8266.77,8262.94,471634.11,471399.66,False,False,False
SOL/SOLC,309498.39,0.0,10928.98,0.0,False,False,False
BLD/OSMO,20182.38,19755.74,12664.86,10930.89,False,False,False
PARTI/WBNB,1469073.62,1463993.5,20562.21,20408.16,False,False,False
PARTI/WETH,943722.74,935869.19,12482.14,12521.89,False,False,False
WETH/WOO,4076961.91,4076961.91,216498.7,225749.41,False,False,False
SBR/SOL,156746.33,155862.12,19542.09,19266.95,False,False,False
SBR/WETH,515103.35,514920.69,116088.38,116357.09,False,False,False
SOL/SSOL,698543.32,694680.3,808551.19,799687.36,False,False,False
MSOL/SOL,12831254.35,12782082.67,10593492.07,10761741.6,False,False,False
MSOL/USDC,1158383.92,1157426.69,3274360.93,3333446.63,False,False,False
JITOSOL/MSOL,700362.7,698362.14,235577.75,226357.91,False,False,False
MSOL/USDT,70516.7,70418.65,13728.54,14021.6,False,False,False
SWARM/VIRTUAL,372190.21,371197.18,17862.8,17610.79,False,False,False
SOL/SWARM,12359.21,11976.7,27714.02,27610.96,False,False,False
BONGO/SOL,772548.98,769777.29,159842.25,169387.87,False,False,False
BONGO/LEGIT,7019969.85,7019969.85,299159.61,299161.18,False,False,False
PORT/VIRTUAL,86099.62,82138.72,57258.48,54229.2,False,False,False
ARIES/SOL,77787.15,77787.15,10758.79,17946.4,False,False,False
SOL/STSOL,110806.9,110412.84,127582.14,129866.25,False,False,False
STSOL/USDC,490704.75,490218.33,94176.46,95456.57,False,False,False
STSOL/USDT,75351.91,75252.77,11632.03,11753.23,False,False,False
SPX/STSOL,57647.38,56832.78,10084.96,10543.12,False,False,False
SCA/USDC,1585862.31,1583163.14,593417.78,596484.22,False,False,False
SCA/SUI,479712.86,476859.88,380434.89,382183.82,False,False,False
ASH/WETH,138654.75,137982.27,90583.56,72629.44,False,False,False
WETH/XEN,187748.57,184924.06,57879.11,60581.62,False,False,False
PLAY/WETH,52086.26,52268.3,25233.39,25849.87,False,False,False
PLAY/USDT,1611648.75,1618527.27,4771936.58,4839955.29,False,False,False
SOLX/WETH,1532314.92,1535498.25,218434.11,209929.99,False,False,False
SOL/SOLX,260163.76,259698.11,38334.48,40120.25,False,False,False
VLT/WETH,69377.78,69316.71,12223.03,11984.19,False,False,False
MNDE/MSOL,2130252.17,2124703.3,179454.17,182849.07,False,False,False
MNDE/USDC,1227059.26,1224412.6,341797.05,343532.5,False,False,False
WETH/XUSD,1364554.57,1364787.67,27704.6,28030.94,False,False,False
USD₮0/XUSD,117883.85,117891.7,40430.21,35518.95,False,False,False
HLP0/XUSD,4082985.45,4071387.99,257610.68,264675.41,False,False,False
USDC/XUSD,79924.65,79942.24,116749.76,116497.58,False,False,False
USDT/XUSD,618108.0,618108.0,55229.61,170042.8,False,False,False
CBBTC/XBTC,6433091.35,6430500.9,3556283.65,3654118.08,False,False,False
USDG/XBTC,8415337.32,8416612.56,2817706.33,2897499.53,False,False,False
JITOSOL/XBTC,1630594.08,1627856.99,1797419.94,1828040.09,False,False,False
APT/XBTC,345747.72,345265.82,62851.43,62265.61,False,False,False
SOL/XBTC,30796.17,29971.11,53831.5,54691.46,False,False,False
USDC/XBTC,1707875.01,2394619.26,1258527.33,1258970.89,False,False,False
SUI/XBTC,1048239.08,796369.18,853455.79,852354.62,False,False,False
WBTC/XBTC,3966229.67,3963177.6,2089387.38,2097265.11,False,False,False
CPR/USDT,8796.49,8951.55,12735.42,12512.39,False,False,False
CPR/WPOL,7176.46,7238.14,18382.89,18055.92,False,False,False
ENT/SOL,288974.85,286220.51,14048.66,14134.32,False,False,False
LIZARD/SOL,316779.74,311815.13,1837063.14,1917660.93,False,False,False
LIZARD/SPX,27065.13,26894.12,13253.68,13400.47,False,False,False
LIZARD/USDC,32071.83,31404.99,39001.77,34938.93,False,False,False
LIZARD/WETH,1055093.6,1074442.13,3050041.39,3057318.5,False,False,False
MOON/SOL,111496.97,105847.87,1044311.1,1557503.15,False,False,False
MOON/WCRO,483170.08,478848.77,120467.4,125916.0,False,False,False
BLISS/SOL,21529.67,24323.75,54185.71,52789.03,False,False,False
DOG/SOL,186895.06,194462.66,941614.36,964973.02,False,False,False
DOG/USDC,1220816.43,1214230.22,62556.0,59503.27,False,False,False
DOG/WETH,6485530.33,0.0,11420.63,0.0,False,False,False
DOG/WSTETH,5034433.76,4999128.98,73792.54,79020.22,False,False,False
SNOW/WETH,213493.6,209289.61,16605.77,16409.04,False,False,False
MSQ/USDT,929814.37,0.0,17220.58,0.0,False,False,False
SOLV/USD1,968322.77,965961.39,273100.96,263865.67,False,False,False
SOLV/WBNB,97301.66,96637.61,15005.01,14533.59,False,False,False
ETH/RED,670598.87,668113.1,34023.26,31381.82,False,False,False
DMTR/WETH,180555.87,180555.87,19471.66,21140.47,False,False,False
JUNGLE/SOL,103591.25,102340.92,15185.72,15420.25,False,False,False
BONK/WETH,170270.37,169462.9,330614.89,327289.07,False,False,False
BONK/SOL,1204591.8,1196215.24,600142.43,638741.38,False,False,False
BONK/SPX,108802.36,108802.36,56076.93,56076.93,False,False,False
BONK/USDC,888479.22,889167.69,285641.13,300048.6,False,False,False
BONK/FARTCOIN ,15789.26,0.0,35344326.0,0.0,False,False,False
BONK/LEGIT,879692.82,879692.82,15211.58,15211.58,False,False,False
BONK/GP,35819.5,35819.5,10468106.38,10469617.26,False,False,False
GST/USDC,126946.63,126993.8,23028.04,27854.89,False,False,False
BOBA/WBNB,72500.52,72500.52,12774.15,13743.28,False,False,False
BOBA/WETH,202615.0,202109.0,53056.55,60447.7,False,False,False
BOBA/USDC,154988.0,155214.0,158902.69,171007.36,False,False,False
LEGIT/SKATE,809846087.84,809846087.84,3324086.13,3324086.13,False,False,False
SKATE/USDC,391958.08,392951.66,329534.52,335886.86,False,False,False
SPELL/WETH,750695.38,734891.5,15943.37,15940.34,False,False,False
CAC/WBNB,80752.94,80752.94,72970.6,72970.6,False,False,False
